# Padrão-ouro da turma — critério oficial da aula.
# label_humano 1 = Pass -> passa · 0 = Fail -> falha
trace_id,F06
c120.0,passa
c62.0,passa
c138.0,falha
c88.0,passa
c31.0,passa
c111.0,passa
c192.0,passa
c154.0,passa
c103.0,passa
c170.0,falha
c177.0,passa
c99.0,passa
c44.0,passa
c32.0,passa
c189.0,passa
c167.0,passa
c83.0,passa
c13.0,passa
c130.0,passa
c197.0,falha
c5.0,passa
c157.0,passa
c144.0,falha
c37.0,passa
c40.0,passa
c196.0,falha
c25.0,passa
c74.0,falha
c132.0,falha
c131.0,passa
c97.0,passa
c147.0,passa
c67.0,passa
c141.0,passa
c152.0,passa
c3.0,passa
c57.0,falha
c82.0,falha
c158.0,falha
c164.0,passa
c165.0,passa
c188.0,passa
c35.0,passa
c64.0,falha
c172.0,passa
c46.0,passa
c180.0,passa
c23.0,passa
c48.0,passa
c187.0,falha
c114.0,passa
c20.0,passa
c19.0,passa
c94.0,passa
c176.0,passa
c75.0,passa
c8.0,passa
c66.0,falha
c9.0,passa
c184.0,passa
c86.0,falha
c150.0,passa
c162.0,passa
c190.0,passa
c106.0,passa
c160.0,passa
c93.0,passa
c61.0,falha
c22.0,passa
c39.0,passa
c50.0,passa
c116.0,passa
c191.0,passa
c47.0,passa
c101.0,passa
c98.0,passa
c69.0,falha
c182.0,falha
c73.0,falha
c194.0,falha
c136.0,passa
c156.0,falha
c112.0,passa
c92.0,passa
c2.0,passa
c11.0,passa
c100.0,passa
c63.0,falha
c41.0,passa
c87.0,passa
c153.0,falha
c18.0,passa
c54.0,passa
c151.0,passa
c148.0,passa
c105.0,passa
c96.0,passa
c90.0,passa
c29.0,passa
c36.0,passa
c134.0,falha
c71.0,falha
c117.0,passa
c122.0,falha
c89.0,passa
c58.0,passa
c168.0,passa
c84.0,passa
c7.0,passa
c125.0,passa
c79.0,falha
c34.0,passa
c77.0,falha
c169.0,passa
c139.0,falha
c55.0,falha
c33.0,passa
c195.0,passa
c183.0,passa
c126.0,falha
c81.0,passa
c10.0,passa
c163.0,passa
c146.0,passa
c12.0,passa
c70.0,passa
c135.0,falha
c137.0,falha
c43.0,passa
c133.0,passa
c127.0,passa
c166.0,passa
c140.0,passa
c85.0,passa
c155.0,falha
c16.0,passa
c60.0,falha
c80.0,passa
c179.0,falha
c42.0,passa
c159.0,falha
c175.0,passa
c78.0,passa
c121.0,passa
c72.0,passa
c104.0,passa
c1.0,passa
c102.0,passa
c161.0,passa
c185.0,passa
c107.0,passa
c59.0,passa
c128.0,passa
c129.0,passa
c200.0,passa
c45.0,passa
c65.0,falha
c26.0,passa
c4.0,passa
c143.0,passa
c14.0,passa
c186.0,passa
c145.0,passa
c118.0,passa
c21.0,passa
c181.0,passa
c123.0,falha
c76.0,falha
c49.0,passa
c193.0,falha
c38.0,passa
c119.0,passa
c142.0,falha
c199.0,passa
c53.0,falha
c68.0,falha
c30.0,passa
c91.0,passa
c108.0,passa
c17.0,passa
c28.0,passa
c171.0,passa
c173.0,passa
c178.0,passa
c15.0,passa
c124.0,passa
c110.0,falha
c113.0,passa
c95.0,passa
c115.0,falha
c174.0,passa
c198.0,falha
c27.0,passa
c52.0,passa
c109.0,passa
